Lambda,Algorithm,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,Std Norm Energy,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Total Energy (Wh),Std Total Energy (Wh)
0.2,thompson_sampling,5,0.6441326770835285,0.017705319150094663,0.19695328954765798,0.028657293040880622,0.2310672977034026,0.024102406302796,0.6759154837572913,0.010110792294376173,253.86259664169083,53.45820817900959
0.3,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6183096511071363,0.0,731.4273224816835,0.0
0.3,epsilon_greedy,5,0.6397742957944617,0.043976246285483966,0.17671973640357147,0.05670882830728854,0.213895343061197,0.06690905589682843,0.6948260861350517,0.013882321896906366,293.7477614565811,112.88332880914699
0.3,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4452659549317362,0.0,440.4658335067344,0.0
0.3,linear_epsilon_greedy,5,0.6352693433201797,0.02561656993882188,0.16498441153623333,0.0183174422122847,0.1907845781861971,0.0194295248696016,0.6951932168632557,0.013496693848003723,228.99098429134352,25.70810216778929
0.3,linucb,5,0.6333935089506266,0.011795759526339466,0.16270728864217746,0.015031265815542864,0.18838196704655938,0.02163624818037568,0.6945632696727853,0.006370402832627005,220.97731771613667,23.559096604395865
0.3,random,5,0.5099422848636685,0.010372376909368089,0.1667768202386945,0.0027081521924727865,0.20419379464174753,0.0024476348758780847,0.6069265533329595,0.007388195207421683,235.58839638278195,3.721275509246928
0.3,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.5113920844231838,0.0,52.463203797571865,0.0
0.3,thompson_sampling,5,0.6399770483747923,0.014972019880148452,0.16321322296826973,0.016595798928748108,0.18816596165716018,0.015880187008708548,0.6990199669718736,0.00709263269265808,186.79021938895562,28.42402006955787
0.4,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.5960783305073147,0.0,731.4273224816835,0.0
0.4,epsilon_greedy,5,0.6274312993404885,0.03859102607181796,0.18431126159950434,0.0550063083642545,0.20979815675023014,0.053559683211703395,0.7027342749644914,0.012625984642597616,290.23585408186557,96.52406061463728
0.4,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4656233443432206,0.0,440.4658335067344,0.0
0.4,linear_epsilon_greedy,5,0.6245471378426822,0.01078428976037571,0.1591443140309858,0.027030811459817203,0.1899359996364495,0.024798732453865692,0.7110705570932151,0.008335630942394128,207.98393803076723,65.0710399421331
0.4,linucb,5,0.6283945279171622,0.01317292038041712,0.13609055742378612,0.016043219979968534,0.16036685611061152,0.0084735854401124,0.7226004937807828,0.003228564204010955,176.09125527035312,38.272775089829025
0.4,random,5,0.5122055826432697,0.004593371668974578,0.16668904369506238,0.0035648270231561975,0.20313410677307195,0.0039754167617312534,0.6406477321079368,0.003086085343775876,233.08880517029667,4.894704649686833
