lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.1,142,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.38546213949504643,52.46320379757186
0.1,142,thompson_sampling,0.6615371722891915,0.22258577999493706,0.24697179269800745,0.6731248770607786,265.3365969619163
0.1,143,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6627722923067794,731.4273224816835
0.1,143,epsilon_greedy,0.6423541764256308,0.23224448308247747,0.21853371550141637,0.6548943104748199,322.8246385256469
0.1,143,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.4045511761087676,440.4658335067343
0.1,143,linear_epsilon_greedy,0.6218777197754681,0.1564901001115386,0.16731509944400022,0.6440409377867674,228.61906623963839
0.1,143,linucb,0.6535891847025687,0.17930040527689378,0.2044976028223176,0.6703002257046224,211.4402642879031
0.1,143,random,0.5034321864281127,0.15936140285664557,0.19350709283405532,0.5371528274996369,226.8236811842155
0.1,143,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.38546213949504643,52.46320379757186
0.1,143,thompson_sampling,0.6577566249533042,0.22735925969802964,0.2545221398288254,0.6692450364881709,291.8387613569717
0.1,144,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6627722923067794,731.4273224816835
0.1,144,epsilon_greedy,0.6392698264900677,0.2294053159462958,0.2166093726500104,0.6524023122464313,315.7508213183543
0.1,144,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.4045511761087676,440.4658335067343
0.1,144,linear_epsilon_greedy,0.6513747630060038,0.22040907579263516,0.25996389490081007,0.6641963791261399,233.27857212678344
0.1,144,linucb,0.6660501079092738,0.2786672010685452,0.32830727924024544,0.6715783770114919,196.57043683096694
0.1,144,random,0.510054389580489,0.16320417678785262,0.20424288129494975,0.5427285329436549,223.71771070265004
0.1,144,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.38546213949504643,52.46320379757186
0.1,144,thompson_sampling,0.6430129017025681,0.2076949720056538,0.251023534094131,0.6579421143317459,215.23121468350283
0.1,145,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6627722923067794,731.4273224816835
0.1,145,epsilon_greedy,0.5809639332177022,0.17129994927580713,0.18115866619468018,0.6057375449683513,255.2287079946179
0.1,145,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.4045511761087676,440.4658335067343
0.1,145,linear_epsilon_greedy,0.6700565468091533,0.2270943350018455,0.2420740299902946,0.6803414586280534,426.88538193741397
0.1,145,linucb,0.6391507392429812,0.20520530296033754,0.2183222194741772,0.6547151350226492,327.1652756010192
0.1,145,random,0.5222618258620775,0.16763261486374625,0.20297663004621547,0.5532723817894952,240.01751071522384
0.1,145,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.38546213949504643,52.46320379757186
0.1,145,thompson_sampling,0.6496138942503951,0.16946078158814515,0.19174824847991281,0.667706426666541,232.1817068040039
0.1,146,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6627722923067794,731.4273224816835
0.1,146,epsilon_greedy,0.6770068670578933,0.5128481744415556,0.5983327430237483,0.6580213629079483,690.3874979378313
0.1,146,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.4045511761087676,440.4658335067343
0.1,146,linear_epsilon_greedy,0.6757439769286986,0.22602499222774067,0.2595118168418934,0.6855670800130547,280.6215756812803
0.1,146,linucb,0.6532078257013002,0.1973043970131996,0.23496409772673923,0.6681566034298502,222.81938347454923
0.1,146,random,0.5143297997790282,0.16793484300099903,0.20671781027265224,0.5461033355010254,235.8455421349774
0.1,146,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.38546213949504643,52.46320379757186
